os,cpu,gpu,ram,kernel,driver,cpuscheduler
Omarchy,AMD Ryzen 9 5900X 12-Core Processor,NVIDIA GeForce RTX 3070,40963824,7.2.5-3-omarchy,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
85.973,11.6316,18.4481,0,98,68,62,1890,6801,4.80865,213,13.3806,0,0,4625,253540029268
111.322,8.98292,18.4481,0,98,68,62,1890,6801,4.80865,213,13.3806,0,0,4625,253640118043
106.891,9.35529,18.4481,0,98,68,62,1890,6801,4.80865,213,13.3806,0,0,4625,253740201037
108.089,9.25162,18.4481,0,98,68,62,1890,6801,4.80865,213,13.3806,0,0,4625,253840287882
93.7407,10.6677,20.3336,0,98,67,62,1890,6801,4.81569,213,13.3838,0,0,4700,253940393136
103.717,9.64159,20.3336,0,98,67,62,1890,6801,4.81569,213,13.3838,0,0,4700,254040479711
113.598,8.80295,20.3336,0,98,67,62,1890,6801,4.81569,213,13.3838,0,0,4700,254140558965
117.029,8.54489,20.3336,0,98,67,62,1890,6801,4.81569,213,13.3838,0,0,4700,254240650900
105.564,9.47291,20.3336,0,98,67,62,1890,6801,4.81569,213,13.3838,0,0,4700,254340740164
88.1768,11.3408,17.8027,0,98,67,62,1890,6801,4.81022,213,13.384,0,0,4725,254440830149
96.464,10.3666,17.8027,0,98,67,62,1890,6801,4.81022,213,13.384,0,0,4725,254540921163
110.521,9.04802,17.8027,0,98,67,62,1890,6801,4.81022,213,13.384,0,0,4725,254641034078
102.722,9.73504,17.8027,0,98,67,62,1890,6801,4.81022,213,13.384,0,0,4725,254741115192
120.87,8.27334,17.8027,0,98,67,62,1890,6801,4.81022,213,13.384,0,0,4725,254841198337
104.841,9.53828,20.46,0,99,67,62,1890,6801,4.81647,213,13.3907,0,0,4675,254941290141
113.267,8.8287,20.46,0,99,67,62,1890,6801,4.81647,213,13.3907,0,0,4675,255041372636
114.599,8.72605,20.46,0,99,67,62,1890,6801,4.81647,213,13.3907,0,0,4675,255141461230
99.5951,10.0407,20.46,0,99,67,62,1890,6801,4.81647,213,13.3907,0,0,4675,255241550175
92.07,10.8613,20.46,0,99,67,62,1890,6801,4.81647,213,13.3907,0,0,4675,255341634679
94.7648,10.5524,18.8498,0,99,67,62,1890,6801,4.80944,214,13.3903,0,0,4591,255441692724
96.6408,10.3476,18.8498,0,99,67,62,1890,6801,4.80944,214,13.3903,0,0,4591,255541801958
53.396,18.728,18.8498,0,99,67,62,1890,6801,4.80944,214,13.3903,0,0,4591,255641886303
97.5781,10.2482,18.8498,0,99,67,62,1890,6801,4.80944,214,13.3903,0,0,4591,255741983117
93.3679,10.7103,18.8498,0,99,67,62,1890,6801,4.80944,214,13.3903,0,0,4591,255842068162
103.36,9.67495,19.9359,0,99,67,62,1890,6801,4.81725,214,13.3893,0,0,4650,255942149646
96.3123,10.3829,19.9359,0,99,67,62,1890,6801,4.81725,214,13.3893,0,0,4650,256042234370
96.4262,10.3706,19.9359,0,99,67,62,1890,6801,4.81725,214,13.3893,0,0,4650,256142327345
102.151,9.78944,19.9359,0,99,67,62,1890,6801,4.81725,214,13.3893,0,0,4650,256242403409
102.56,9.75035,19.9359,0,99,67,62,1890,6801,4.81725,214,13.3893,0,0,4650,256342481624
