timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,power.draw,fan.speed,utilization.gpu
2026/09/17 22:23:37.353, P2, 1905, 6801, 53, 153.47, 36, 100
2026/09/17 22:23:39.378, P2, 1905, 6801, 53, 151.80, 37, 100
2026/09/17 22:23:41.402, P2, 1905, 6801, 54, 154.11, 38, 100
2026/09/17 22:23:43.426, P2, 1905, 6801, 54, 150.31, 39, 100
2026/09/17 22:23:45.451, P2, 1905, 6801, 54, 153.55, 39, 100
2026/09/17 22:23:47.475, P2, 1905, 6801, 49, 94.25, 39, 100
2026/09/17 22:23:49.499, P2, 1905, 6801, 49, 94.00, 37, 100
2026/09/17 22:23:51.523, P2, 1905, 6801, 49, 96.26, 36, 100
2026/09/17 22:23:53.547, P2, 1905, 6801, 49, 93.82, 35, 100
2026/09/17 22:23:55.571, P2, 1905, 6801, 49, 94.40, 34, 100
2026/09/17 22:23:57.596, P2, 1905, 6801, 49, 102.42, 34, 100
2026/09/17 22:23:59.620, P2, 1905, 6801, 49, 104.35, 34, 99
2026/09/17 22:24:01.644, P2, 1905, 6801, 49, 103.03, 34, 100
2026/09/17 22:24:03.667, P2, 1905, 6801, 49, 103.12, 34, 100
2026/09/17 22:24:05.690, P2, 1905, 6801, 49, 102.32, 34, 100
2026/09/17 22:24:07.715, P2, 1905, 6801, 48, 93.73, 34, 100
2026/09/17 22:24:09.739, P2, 1905, 6801, 48, 93.57, 34, 100
2026/09/17 22:24:11.765, P2, 1905, 6801, 48, 94.03, 34, 100
2026/09/17 22:24:13.790, P2, 1905, 6801, 48, 93.53, 34, 100
2026/09/17 22:24:15.815, P2, 1905, 6801, 49, 94.06, 34, 100
2026/09/17 22:24:17.839, P2, 1905, 6801, 49, 100.01, 34, 99
2026/09/17 22:24:19.862, P2, 1905, 6801, 49, 98.70, 34, 99
2026/09/17 22:24:21.885, P2, 1905, 6801, 48, 98.91, 34, 100
2026/09/17 22:24:23.909, P2, 1905, 6801, 48, 98.93, 34, 99
2026/09/17 22:24:25.933, P2, 1905, 6801, 49, 99.06, 34, 100
2026/09/17 22:24:27.957, P2, 1905, 6801, 49, 103.11, 34, 100
2026/09/17 22:24:29.982, P2, 1905, 6801, 49, 103.34, 34, 100
2026/09/17 22:24:32.009, P2, 1905, 6801, 49, 105.61, 34, 99
2026/09/17 22:24:34.033, P2, 1905, 6801, 49, 103.48, 34, 100
